정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
AT센터.양재꽃시장,22298,4432,개포동차고지(가상) - 개포동차고지(종점가상),2024-11-04(월),일반인,0,1,2,6,7,4,31,13,56,30,18,18,12,5,10,6,25,10,11,8,6,5,11,10,5,4,14,9,12,14,18,15,7,10,9,9,8,4,7,2,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,4432,개포동차고지(가상) - 개포동차고지(종점가상),2024-11-04(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,4432,개포동차고지(가상) - 개포동차고지(종점가상),2024-11-04(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,2,0,0,2,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,4432,개포동차고지(가상) - 개포동차고지(종점가상),2024-11-04(월),경로,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,3,1,0,0,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,4432,개포동차고지(가상) - 개포동차고지(종점가상),2024-11-04(월),장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,4432,개포동차고지(가상) - 개포동차고지(종점가상),2024-11-04(월),국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,452,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),일반인,0,0,0,0,8,4,58,11,74,18,31,18,11,3,10,9,11,12,16,3,12,2,12,5,28,7,34,6,35,8,19,9,19,5,21,8,10,2,11,2,10,5,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,452,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),청소년,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,452,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),경로,0,0,0,0,1,0,2,0,0,0,3,0,0,0,2,0,0,0,1,0,5,1,5,0,5,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,452,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),장애인,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,452,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),국가유공자,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,470,상암차고지(가상) - 상암차고지(가상),2024-11-04(월),일반인,0,0,1,7,36,20,54,20,38,13,15,15,0,3,7,11,2,1,6,4,5,4,12,9,8,3,6,6,14,12,7,13,11,9,4,9,10,7,2,1,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,470,상암차고지(가상) - 상암차고지(가상),2024-11-04(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,470,상암차고지(가상) - 상암차고지(가상),2024-11-04(월),청소년,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,470,상암차고지(가상) - 상암차고지(가상),2024-11-04(월),경로,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,470,상암차고지(가상) - 상암차고지(가상),2024-11-04(월),장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,470,상암차고지(가상) - 상암차고지(가상),2024-11-04(월),국가유공자,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,741,진관공영차고지 - 진관공영차고지,2024-11-04(월),일반인,0,0,12,9,28,19,52,10,81,24,27,13,6,15,6,9,16,10,10,3,1,2,7,4,4,7,19,9,22,18,24,11,10,4,14,14,7,2,4,4,1,1,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,741,진관공영차고지 - 진관공영차고지,2024-11-04(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,741,진관공영차고지 - 진관공영차고지,2024-11-04(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,741,진관공영차고지 - 진관공영차고지,2024-11-04(월),경로,0,0,2,1,0,0,0,0,0,0,3,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,741,진관공영차고지 - 진관공영차고지,2024-11-04(월),장애인,0,0,0,0,2,0,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,741,진관공영차고지 - 진관공영차고지,2024-11-04(월),국가유공자,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,8442출근,식유촌우면성당.서초호반써밋 - 서초호반써밋,2024-11-04(월),일반인,0,0,0,0,0,0,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,8442퇴근,양재역.서초문화예술회관 - 양재역.서초문화예술회관,2024-11-04(월),일반인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,서울07출근,양재역.서초문화예술회관 - 기업성장센터,2024-11-04(월),일반인,0,0,0,0,0,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
